servei_id,zona,inici,fi,habilitacio,vigilants_assignats
CEN-mati-0,Central,2026-09-07T06:00:00,2026-09-07T14:00:00,no_armat,V01
NOR-mati-0,Nord,2026-09-07T06:00:00,2026-09-07T14:00:00,no_armat,V08
SUD-mati-0,Sud,2026-09-07T06:00:00,2026-09-07T14:00:00,no_armat,V04
CEN-tarda-0,Central,2026-09-07T14:00:00,2026-09-07T22:00:00,no_armat,V02
NOR-tarda-0,Nord,2026-09-07T14:00:00,2026-09-07T22:00:00,no_armat,V05
SUD-tarda-0,Sud,2026-09-07T14:00:00,2026-09-07T22:00:00,no_armat,V07
CEN-nit-0,Central,2026-09-07T22:00:00,2026-09-08T06:00:00,cctv,V06
NOR-nit-0,Nord,2026-09-07T22:00:00,2026-09-08T06:00:00,no_armat,V03
CEN-mati-1,Central,2026-09-08T06:00:00,2026-09-08T14:00:00,no_armat,V01
NOR-mati-1,Nord,2026-09-08T06:00:00,2026-09-08T14:00:00,no_armat,
SUD-mati-1,Sud,2026-09-08T06:00:00,2026-09-08T14:00:00,no_armat,V04
CEN-tarda-1,Central,2026-09-08T14:00:00,2026-09-08T22:00:00,no_armat,
NOR-tarda-1,Nord,2026-09-08T14:00:00,2026-09-08T22:00:00,no_armat,V05
SUD-tarda-1,Sud,2026-09-08T14:00:00,2026-09-08T22:00:00,no_armat,V07
CEN-nit-1,Central,2026-09-08T22:00:00,2026-09-09T06:00:00,cctv,
NOR-nit-1,Nord,2026-09-08T22:00:00,2026-09-09T06:00:00,no_armat,
CEN-mati-2,Central,2026-09-09T06:00:00,2026-09-09T14:00:00,no_armat,V01
NOR-mati-2,Nord,2026-09-09T06:00:00,2026-09-09T14:00:00,no_armat,V08
SUD-mati-2,Sud,2026-09-09T06:00:00,2026-09-09T14:00:00,no_armat,
CEN-tarda-2,Central,2026-09-09T14:00:00,2026-09-09T22:00:00,no_armat,V02
NOR-tarda-2,Nord,2026-09-09T14:00:00,2026-09-09T22:00:00,no_armat,
SUD-tarda-2,Sud,2026-09-09T14:00:00,2026-09-09T22:00:00,no_armat,V07
CEN-nit-2,Central,2026-09-09T22:00:00,2026-09-10T06:00:00,cctv,V06
NOR-nit-2,Nord,2026-09-09T22:00:00,2026-09-10T06:00:00,no_armat,V03
CEN-mati-3,Central,2026-09-10T06:00:00,2026-09-10T14:00:00,no_armat,V01
NOR-mati-3,Nord,2026-09-10T06:00:00,2026-09-10T14:00:00,no_armat,V08
SUD-mati-3,Sud,2026-09-10T06:00:00,2026-09-10T14:00:00,no_armat,V04
CEN-tarda-3,Central,2026-09-10T14:00:00,2026-09-10T22:00:00,no_armat,V02
NOR-tarda-3,Nord,2026-09-10T14:00:00,2026-09-10T22:00:00,no_armat,V05
SUD-tarda-3,Sud,2026-09-10T14:00:00,2026-09-10T22:00:00,no_armat,V07
CEN-nit-3,Central,2026-09-10T22:00:00,2026-09-11T06:00:00,cctv,V06
NOR-nit-3,Nord,2026-09-10T22:00:00,2026-09-11T06:00:00,no_armat,V03
CEN-mati-4,Central,2026-09-11T06:00:00,2026-09-11T14:00:00,no_armat,V01
NOR-mati-4,Nord,2026-09-11T06:00:00,2026-09-11T14:00:00,no_armat,
SUD-mati-4,Sud,2026-09-11T06:00:00,2026-09-11T14:00:00,no_armat,V04
CEN-tarda-4,Central,2026-09-11T14:00:00,2026-09-11T22:00:00,no_armat,V02
NOR-tarda-4,Nord,2026-09-11T14:00:00,2026-09-11T22:00:00,no_armat,V05
SUD-tarda-4,Sud,2026-09-11T14:00:00,2026-09-11T22:00:00,no_armat,V07
CEN-nit-4,Central,2026-09-11T22:00:00,2026-09-12T06:00:00,cctv,V06
NOR-nit-4,Nord,2026-09-11T22:00:00,2026-09-12T06:00:00,no_armat,V03
CEN-mati-5,Central,2026-09-12T06:00:00,2026-09-12T14:00:00,no_armat,V01
NOR-mati-5,Nord,2026-09-12T06:00:00,2026-09-12T14:00:00,no_armat,V08
SUD-mati-5,Sud,2026-09-12T06:00:00,2026-09-12T14:00:00,no_armat,V04
CEN-tarda-5,Central,2026-09-12T14:00:00,2026-09-12T22:00:00,no_armat,V02
NOR-tarda-5,Nord,2026-09-12T14:00:00,2026-09-12T22:00:00,no_armat,V05
SUD-tarda-5,Sud,2026-09-12T14:00:00,2026-09-12T22:00:00,no_armat,
CEN-nit-5,Central,2026-09-12T22:00:00,2026-09-13T06:00:00,cctv,V06
NOR-nit-5,Nord,2026-09-12T22:00:00,2026-09-13T06:00:00,no_armat,V03
CEN-mati-6,Central,2026-09-13T06:00:00,2026-09-13T14:00:00,no_armat,V08
NOR-mati-6,Nord,2026-09-13T06:00:00,2026-09-13T14:00:00,no_armat,
SUD-mati-6,Sud,2026-09-13T06:00:00,2026-09-13T14:00:00,no_armat,V04
CEN-tarda-6,Central,2026-09-13T14:00:00,2026-09-13T22:00:00,no_armat,V02
NOR-tarda-6,Nord,2026-09-13T14:00:00,2026-09-13T22:00:00,no_armat,V05
SUD-tarda-6,Sud,2026-09-13T14:00:00,2026-09-13T22:00:00,no_armat,V07
CEN-nit-6,Central,2026-09-13T22:00:00,2026-09-14T06:00:00,cctv,V06
NOR-nit-6,Nord,2026-09-13T22:00:00,2026-09-14T06:00:00,no_armat,V03
